Code,Title,Rating,Rating Count,Rank,Rating Mean
tt7366338,Chernobyl,9.1,"5,431",12,9.3
tt9253866,Our Planet,9.3,"8,356",6,9.2625
tt2560140,Attack on Titan,8.7,"109,643",66,9.258823529411764
tt8595766,Yeh Meri Family,8.5,"15,026",159,9.200000000000001
tt2395695,Cosmos,9.2,"94,934",9,9.076923076923075
tt3322312,Daredevil,8.6,"326,756",101,9.023076923076925
tt0944947,Game of Thrones,9.4,"1,477,002",3,9.018055555555556
tt4269716,Umbre,8.5,"5,697",179,9.007142857142858
tt4508902,One Punch Man,8.8,"81,313",34,8.999999999999998
tt2433738,Wentworth,8.5,"14,125",205,8.984285714285717
tt4158110,Mr. Robot,8.5,"275,557",185,8.924999999999999
tt0903747,Breaking Bad,9.4,"1,185,584",5,8.911290322580646
tt7221388,Cobra Kai,8.7,"31,144",58,8.909999999999998
tt0081846,Cosmos,9.2,"30,894",10,8.907692307692308
tt2802850,Fargo,8.9,"269,673",26,8.906666666666666
tt0072500,Fawlty Towers,8.8,"75,636",55,8.9
tt2243973,Hannibal,8.5,"201,191",186,8.9
tt2442560,Peaky Blinders,8.7,"190,817",57,8.891666666666667
tt1641384,Young Justice,8.6,"27,090",96,8.876271186440679
tt0075520,Jesus of Nazareth,8.5,"17,456",198,8.850000000000001
tt3032476,Better Call Saul,8.6,"245,742",84,8.842499999999998
tt1984119,Feud,8.5,"13,993",167,8.8375
tt7562112,Pose,8.3,"7,333",241,8.8375
tt1227926,Dr. Horrible's Sing-Along Blog,8.5,"39,654",169,8.833333333333334
tt3647998,Taboo,8.4,"98,876",220,8.822222222222221
tt1475582,Sherlock,9.1,"698,423",17,8.82
tt0193676,Freaks and Geeks,8.8,"118,018",50,8.805555555555557
tt6958022,The Defiant Ones,8.5,"8,662",140,8.8
tt4742876,TVF Pitchers,8.8,"43,636",53,8.8
tt2401256,The Night Of,8.5,"98,096",155,8.799999999999999
tt0096548,Blackadder Goes Forth,8.7,"43,009",61,8.799999999999999
tt5994364,Sseulsseulhago Chalranhashin: Dokkaebi,8.5,"5,576",173,8.7875
tt0071075,The World at War,9.1,"18,147",14,8.765384615384612
tt1865718,Gravity Falls,8.8,"51,899",46,8.746341463414636
tt1695360,The Legend of Korra,8.4,"85,000",216,8.740384615384615
tt5675620,The Punisher,8.5,"146,061",153,8.738461538461538
tt2707408,Narcos,8.8,"289,434",49,8.733333333333333
tt0070644,Scenes from a Marriage,8.4,"13,718",210,8.733333333333333
tt6763664,The Haunting of Hill House,8.7,"111,538",73,8.72
tt2297757,Nathan for You,8.7,"13,631",68,8.71875
tt1586680,Shameless,8.6,"169,404",119,8.712727272727273
tt5687612,Fleabag,8.3,"17,160",243,8.708333333333332
tt4574334,Stranger Things,8.8,"582,749",43,8.705882352941178
tt2303687,Line of Duty,8.5,"19,206",142,8.700000000000001
tt0141842,The Sopranos,9.1,"249,831",13,8.696511627906977
tt3230854,The Expanse,8.3,"68,988",239,8.69166666666667
tt0096657,Mr. Bean,8.5,"87,292",168,8.686666666666667
tt4786824,The Crown,8.6,"81,150",88,8.684999999999999
tt1124373,Sons of Anarchy,8.5,"229,299",194,8.681521739130437
tt1489428,Justified,8.5,"76,628",139,8.680769230769233
tt1632701,Suits,8.4,"324,466",226,8.67983870967742
tt0417299,Avatar: The Last Airbender,9.1,"187,864",15,8.675409836065572
tt0203082,Samurai X: Trust and Betrayal,8.6,"11,536",122,8.675
tt0074006,"I, Claudius",8.8,"14,072",52,8.661538461538461
tt0303461,Firefly,9.0,"224,702",23,8.657142857142857
tt0096639,Lonesome Dove,8.7,"18,405",78,8.65
tt4189022,Ash vs Evil Dead,8.5,"56,307",204,8.643333333333333
tt0129690,I'm Alan Partridge,8.5,"16,531",196,8.641666666666667
tt2356777,True Detective,9.0,"437,339",25,8.641666666666667
tt5788792,The Marvelous Mrs. Maisel,8.7,"42,588",72,8.638888888888888
tt1806234,Human Planet,9.0,"20,397",20,8.637500000000001
tt0185906,Band of Brothers,9.4,"314,596",2,8.629999999999999
tt5555260,This Is Us,8.6,"75,959",100,8.629629629629632
tt0290978,The Office,8.5,"86,136",171,8.628571428571428
tt1870479,The Newsroom,8.5,"95,364",138,8.62
tt2384811,Utopia,8.4,"35,230",227,8.616666666666665
tt3920596,Big Little Lies,8.5,"100,830",147,8.614285714285714
tt4288182,Atlanta,8.6,"38,677",114,8.614285714285714
tt2937900,The Knick,8.5,"38,986",200,8.610000000000001
tt0773262,Dexter,8.6,"594,550",95,8.603125000000002
tt5425186,Horace and Pete,8.5,"12,912",187,8.600000000000001
tt0098769,The Civil War,9.0,"10,749",22,8.600000000000001
tt7078180,Violet Evergarden,8.3,"5,058",248,8.6
tt0314979,Battlestar Galactica,8.6,"60,842",109,8.6
tt0979432,Boardwalk Empire,8.5,"158,954",145,8.594736842105263
tt5753856,Dark,8.5,"100,580",148,8.59
tt3718778,Over the Garden Wall,8.8,"27,812",48,8.59
tt5834204,The Handmaid's Tale,8.5,"113,953",182,8.58695652173913
tt4093826,Twin Peaks,8.5,"42,518",188,8.583333333333334
tt8714904,Narcos: Mexico,8.4,"31,025",217,8.58
tt0098825,House of Cards,8.5,"11,998",193,8.575
tt0080297,Tinker Tailor Soldier Spy,8.5,"6,782",195,8.571428571428571
tt1533395,Life,9.1,"33,824",16,8.57
tt0412142,House M.D.,8.7,"373,151",71,8.567613636363635
tt0348914,Deadwood,8.7,"81,885",82,8.566666666666665
tt1831164,Leyla ile Mecnun,8.6,"83,028",132,8.566346153846151
tt0417373,The Venture Bros.,8.4,"21,798",209,8.56511627906977
tt0237123,Coupling,8.5,"40,032",161,8.553571428571429
tt0118421,Oz,8.7,"81,050",64,8.551785714285716
tt6478318,Masum,8.5,"8,080",177,8.55
tt0384766,Rome,8.7,"139,845",62,8.545454545454547
tt2861424,Rick and Morty,9.2,"264,529",11,8.545161290322582
tt0086831,"Yes, Prime Minister",8.5,"7,973",151,8.543750000000001
tt0995832,Generation Kill,8.5,"42,581",141,8.542857142857144
tt3428912,Happy Valley,8.4,"27,564",219,8.541666666666666
tt4270492,Billions,8.3,"53,610",245,8.533333333333331
tt6468322,Money Heist,8.5,"124,217",181,8.523529411764704
tt0081912,Only Fools and Horses....,8.8,"40,452",40,8.5234375
tt0804503,Mad Men,8.6,"179,094",116,8.511956521739132
tt2149175,The Americans,8.3,"72,542",249,8.503999999999998
tt2244495,The Eric Andre Show,8.5,"8,760",154,8.499999999999998
tt0108778,Friends,8.8,"665,928",39,8.499999999999996
tt5249462,Boku dake ga inai machi,8.5,"16,057",183,8.491666666666665
tt1474684,Luther,8.5,"104,721",192,8.485714285714286
tt0098904,Seinfeld,8.8,"223,002",42,8.483815028901732
tt0264235,Curb Your Enthusiasm,8.7,"84,579",69,8.478888888888891
tt0111958,Father Ted,8.6,"32,737",130,8.475999999999999
tt2788432,American Crime Story,8.5,"66,511",202,8.468421052631578
tt4299972,The Jinx: The Life and Deaths of Robert Durst,8.7,"32,979",79,8.466666666666667
tt2701582,Endeavour,8.5,"14,032",191,8.462962962962965
tt0092324,Blackadder the Third,8.6,"36,864",110,8.450000000000001
tt0278238,Samurai Jack,8.4,"39,384",223,8.45
tt0088484,Blackadder II,8.6,"38,467",98,8.45
tt1606375,Downton Abbey,8.6,"141,133",93,8.446153846153845
tt2049116,Gomorra: La serie,8.6,"21,903",111,8.435416666666669
tt4082744,Detectorists,8.5,"7,994",201,8.43157894736842
tt5290382,Mindhunter,8.5,"117,949",166,8.430000000000001
tt0118273,Brass Eye,8.5,"8,565",144,8.428571428571427
tt2528254,This Is England '90,8.5,"5,208",203,8.425
tt0475784,Westworld,8.8,"338,619",56,8.42
tt0362192,State of Play,8.4,"8,603",234,8.416666666666666
tt1119644,Fringe,8.3,"206,035",244,8.411
tt0387199,Entourage,8.4,"151,374",233,8.407291666666667
tt0863046,Flight of the Conchords,8.5,"50,663",136,8.404545454545456
tt0098936,Twin Peaks,8.8,"153,103",47,8.403333333333334
tt1439629,Community,8.5,"173,798",206,8.402727272727276
tt5712554,The Grand Tour,8.6,"53,552",104,8.40263157894737
tt5288312,Skam,8.6,"23,011",127,8.4
tt0187664,Spaced,8.6,"46,193",118,8.392857142857144
tt0083390,Brideshead Revisited,8.5,"5,899",172,8.381818181818183
tt2100976,Impractical Jokers,8.5,"27,702",175,8.378756476683941
tt0080306,Yes Minister,8.5,"10,587",135,8.377272727272727
tt7767422,Sex Education,8.3,"60,810",246,8.375
tt5189670,Making a Murderer,8.6,"76,578",105,8.365
tt0472027,John Adams,8.5,"24,833",149,8.342857142857143
tt2575988,Silicon Valley,8.5,"102,106",170,8.339130434782609
tt7920978,Sahsiyet,8.7,"12,972",59,8.333333333333334
tt1494191,The Untold History of the United States,8.5,"6,797",162,8.325000000000001
tt0306414,The Wire,9.3,"243,004",7,8.323333333333336
tt1266020,Parks and Recreation,8.6,"174,637",106,8.321599999999998
tt6025022,Justice League Unlimited,8.7,"5,242",60,8.312820512820513
tt1492966,Louie,8.5,"70,287",157,8.311475409836063
tt0200276,The West Wing,8.7,"55,688",67,8.310967741935485
tt2306299,Vikings,8.5,"335,628",174,8.305797101449272
tt0994314,Kôdo giasu: Hangyaku no rurûshu,8.6,"39,815",112,8.300000000000002
tt0112130,Pride and Prejudice,8.8,"67,510",37,8.299999999999999
tt0367279,Arrested Development,8.8,"254,511",45,8.292857142857141
tt0459159,The Thick of It,8.6,"17,211",85,8.290476190476193
tt0472954,It's Always Sunny in Philadelphia,8.7,"169,562",63,8.276923076923078
tt1733785,Bron/Broen,8.6,"48,756",102,8.276315789473685
tt0275137,Justice League,8.5,"36,303",134,8.261538461538462
tt0386676,The Office,8.8,"292,705",51,8.259042553191495
tt7259746,Queer Eye,8.3,"9,774",238,8.258333333333335
tt2467372,Brooklyn Nine-Nine,8.3,"145,746",240,8.254687500000003
tt8398600,After Life,8.4,"33,902",218,8.25
tt0083466,Police Squad!,8.4,"13,828",224,8.25
tt1910272,Steins;Gate,8.7,"32,166",81,8.247999999999998
tt4156586,Permanent Roommates,8.3,"18,829",250,8.246153846153844
tt0161952,Seinto Seiya,8.5,"7,711",133,8.243859649122806
tt0319969,Carnivàle,8.4,"40,047",222,8.241666666666665
tt0098833,Jeeves and Wooster,8.3,"10,948",242,8.234782608695651
tt0248654,Six Feet Under,8.6,"109,974",86,8.222222222222221
tt0387764,Peep Show,8.6,"45,477",129,8.218518518518518
tt3398228,BoJack Horseman,8.5,"68,976",176,8.218032786885246
tt0487831,The IT Crowd,8.5,"116,925",165,8.216000000000001
tt0063929,Monty Python's Flying Circus,8.8,"59,120",36,8.215555555555557
tt1442449,Spartacus,8.5,"204,209",207,8.212121212121211
tt0434706,Monster,8.6,"15,876",94,8.210810810810813
tt0092337,Dekalog,9.0,"18,180",21,8.200000000000001
tt1883092,Generation War,8.4,"21,421",212,8.2
tt0112159,Shin Seiki Evangerion,8.5,"36,469",137,8.184615384615386
tt3530232,Last Week Tonight with John Oliver,8.9,"66,609",28,8.180503144654086
tt0397150,Garth Marenghi's Darkplace,8.4,"14,317",221,8.166666666666666
tt0075537,Mind Your Language,8.6,"5,595",123,8.164285714285713
tt0262150,Black Books,8.5,"49,175",184,8.161111111111111
tt0086661,The Adventures of Sherlock Holmes,8.7,"17,625",76,8.153846153846155
tt0061287,The Prisoner,8.5,"11,182",190,8.141176470588235
tt1856010,House of Cards,8.8,"427,947",54,8.139726027397261
tt4295140,Chef's Table,8.6,"10,387",131,8.126666666666669
tt0121955,South Park,8.7,"298,965",70,8.10973154362416
tt0182629,Rurouni Kenshin: Wandering Samurai,8.4,"15,487",208,8.108421052631583
tt0423731,Samurai Champloo,8.5,"34,135",158,8.103846153846154
tt1305826,Adventure Time,8.5,"65,279",146,8.09068100358423
tt2085059,Black Mirror,8.9,"309,171",32,8.089473684210526
tt0421357,Fullmetal Alchemist,8.6,"54,350",117,8.086274509803921
tt0081834,Das Boot,8.8,"21,376",38,8.066666666666666
tt2098220,Hunter x Hunter,8.6,"34,051",120,8.060135135135134
tt0106179,The X-Files,8.6,"182,182",91,8.053917050691236
tt1486217,Archer,8.6,"122,941",97,8.043137254901962
tt0053488,The Bugs Bunny Show,8.6,"27,778",121,8.028301886792454
tt1526318,Borgen,8.4,"14,855",230,8.026666666666666
tt0407362,Battlestar Galactica,8.6,"140,556",83,8.013698630136988
tt1355642,Fullmetal Alchemist: Brotherhood,9.0,"87,055",24,8.009374999999999
tt0106028,Homicide: Life on the Street,8.5,"10,479",156,8.000819672131145
tt0090509,The Return of Sherlock Holmes,8.6,"8,879",87,7.990909090909091
tt0074028,The Muppet Show,8.4,"20,679",237,7.984166666666663
tt0103584,X-Men: The Animated Series,8.4,"33,167",211,7.951315789473682
tt2571774,Africa,8.8,"11,287",35,7.949999999999999
tt2674806,Inside No. 9,8.4,"8,176",231,7.947999999999999
tt0149460,Futurama,8.5,"194,390",197,7.941129032258061
tt0318871,Berserk,8.5,"23,589",152,7.935999999999999
tt0758745,Friday Night Lights,8.6,"50,820",126,7.9236842105263205
tt0436992,Doctor Who,8.6,"183,130",125,7.918918918918919
tt3671754,Kardes Payi,8.3,"13,248",247,7.917142857142858
tt1230180,The Angry Video Game Nerd,8.4,"12,993",228,7.908290155440417
tt1508238,Apocalypse: La 2ème guerre mondiale,8.8,"6,511",41,7.8999999999999995
tt0118266,The New Batman Adventures,8.5,"11,805",180,7.8875
tt1877514,The Vietnam War,9.0,"11,022",18,7.880000000000001
tt0346314,Kôkaku kidôtai: Stand Alone Complex,8.5,"16,048",199,7.873076923076926
tt1442437,Modern Family,8.4,"310,603",236,7.858189655172419
tt0108855,The Memoirs of Sherlock Holmes,8.6,"5,883",89,7.783333333333334
tt0417349,North &amp; South,8.6,"26,925",107,7.775
tt0094525,Poirot,8.5,"32,798",143,7.759999999999999
tt0286486,The Shield,8.6,"65,614",90,7.702247191011236
tt0052520,The Twilight Zone,9.0,"60,764",19,7.666666666666671
tt1758429,Spartacus: Gods of the Arena,8.5,"114,463",189,7.666666666666667
tt0280249,Dragon Ball,8.5,"46,409",164,7.654901960784311
tt0458254,The Colbert Report,8.4,"36,598",215,7.622481869460114
tt0388629,One Piece: Wan pîsu,8.4,"55,423",225,7.610872027180075
tt0094517,Mystery Science Theater 3000,8.5,"21,784",150,7.603015075376882
tt1513168,Through the Wormhole,8.6,"15,632",115,7.561290322580645
tt1795096,Behzat Ç.: Bir Ankara Polisiyesi,8.4,"23,167",213,7.522916666666668
tt6077448,Sacred Games,8.6,"52,570",108,7.512500000000001
tt0056751,Doctor Who,8.4,"32,685",232,7.485775862068953
tt9561862,"Love, Death &amp; Robots",8.7,"48,841",75,7.427777777777777
tt0092455,Star Trek: The Next Generation,8.6,"86,110",103,7.411931818181813
tt0047708,Alfred Hitchcock Presents,8.5,"12,948",160,7.394776119402993
tt0163507,Whose Line Is It Anyway?,8.5,"37,185",178,7.349545454545457
tt0096697,The Simpsons,8.7,"331,355",65,7.347878787878786
tt0795176,Planet Earth,9.4,"146,143",4,7.345454545454545
tt0088509,Dragon Ball,8.5,"40,429",163,7.295424836601309
tt0213338,Cowboy Bebop,8.9,"74,524",31,7.269230769230768
tt0062588,Mister Rogers' Neighborhood,8.6,"5,162",128,7.1863636363636365
tt1628033,Top Gear,8.6,"99,983",92,7.178260869565215
tt6769208,Blue Planet II,9.2,"18,966",8,7.162499999999999
tt0380136,QI,8.6,"27,473",124,7.128458498023713
tt5491994,Planet Earth II,9.5,"69,834",1,7.1000000000000005
tt0877057,Death Note,8.9,"180,417",29,7.03243243243243
tt0120570,From the Earth to the Moon,8.6,"9,531",99,6.841666666666666
tt6205862,Inside Look: The People v. O.J. Simpson - American Crime Story,8.4,"18,676",235,6.8
tt0403778,Long Way Round,8.6,"10,708",113,6.785714285714286
tt0103359,Batman: The Animated Series,8.9,"74,034",27,6.778823529411768
tt0353049,Chappelle's Show,8.7,"46,680",74,6.751515151515153
tt0115147,The Daily Show,8.4,"41,946",214,6.722995545656994
tt0214341,Dragon Ball Z,8.7,"100,821",77,6.362318840579712
tt0121220,Dragon Ball Z: Doragon bôru zetto,8.7,"57,534",80,6.143603133159275
tt0296310,The Blue Planet,8.9,"27,286",30,6.090000000000001
tt0158417,Mahabharat,8.8,"5,800",44,5.9792452830188685
tt2092588,Frozen Planet,8.8,"21,935",33,5.466666666666667
tt0088491,The Bugs Bunny/Looney Tunes Comedy Hour,8.4,"14,601",229,
